color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,genre_1,genre_2,genre_3,genre_4,genre_5
color,Paul Thomas Anderson,148.0,8093318.0,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice,2014,English,USA,20000000.0,6.7,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18000,Comedy,Crime,Drama,Mystery,Romance
color,Sam Mendes,148.0,200074175.0,Action|Adventure|Thriller,Spectre,2015,English,UK,245000000.0,6.8,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85000,Action,Adventure,Thriller,None,None
color,Unknown,147.0,407197282.0,Action|Adventure|Sci-Fi,Captain America: Civil War,2016,English,USA,250000000.0,8.2,"Robert Downey Jr.,Scarlett Johansson,Chris Evans",72000,Action,Adventure,Sci-Fi,None,None
color,Michael Patrick King,146.0,95328937.0,Comedy|Drama|Romance,Sex and the City 2,2010,English,USA,100000000.0,4.3,"Chris Noth,Liza Minnelli,Kristin Davis",0,Comedy,Drama,Romance,None,None
color,Tate Taylor,146.0,169705587.0,Drama,The Help,2011,English,USA,25000000.0,8.1,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75000,Drama,None,None,None,None
color,Francis Lawrence,146.0,424645577.0,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire,2013,English,USA,130000000.0,7.6,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82000,Adventure,Sci-Fi,Thriller,None,None
 black and white,Steven Spielberg,146.0,79883359.0,Drama|War,War Horse,2011,English,USA,66000000.0,7.2,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",28000,Drama,War,None,None,None
color,Michael Bay,144.0,52822418.0,Action|Drama|Thriller|War,13 Hours,2016,English,USA,50000000.0,7.4,"Toby Stephens,James Badge Dale,David Costabile",44000,Action,Drama,Thriller,War,None
color,Guillaume Canet,144.0,41229.0,Crime|Drama|Thriller,Blood Ties,2013,English,FRANCE,25500000.0,6.5,"Mila Kunis,Lili Taylor,Billy Crudup",0,Crime,Drama,Thriller,None,None
color,Paul Thomas Anderson,144.0,16377274.0,Drama,The Master,2012,English,USA,32000000.0,7.1,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",27000,Drama,None,None,None,None
color,Bryan Singer,144.0,154985087.0,Action|Adventure|Sci-Fi,X-Men: Apocalypse,2016,English,USA,178000000.0,7.3,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54000,Action,Adventure,Sci-Fi,None,None
color,Adam McKay,143.0,2175312.0,Comedy,Anchorman 2: The Legend Continues,2013,English,USA,50000000.0,6.3,"Harrison Ford,Will Ferrell,Steve Carell",41000,Comedy,None,None,None,None
color,Zack Snyder,143.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,2013,English,USA,225000000.0,7.2,"Henry Cavill,Christopher Meloni,Harry Lennix",118000,Action,Adventure,Fantasy,Sci-Fi,None
color,Sam Mendes,143.0,304360277.0,Action|Adventure|Thriller,Skyfall,2012,English,UK,200000000.0,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000,Action,Adventure,Thriller,None,None
color,Baz Luhrmann,143.0,144812796.0,Drama|Romance,The Great Gatsby,2013,English,AUSTRALIA,105000000.0,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000,Drama,Romance,None,None,None
color,Steven Spielberg,142.0,72306065.0,Drama|History|Thriller,Bridge of Spies,2015,English,USA,40000000.0,7.6,"Tom Hanks,Mark Rylance,Amy Ryan",55000,Drama,History,Thriller,None,None
color,Marc Webb,142.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,2014,English,USA,200000000.0,6.7,"Emma Stone,Andrew Garfield,B.J. Novak",41000,Action,Adventure,Fantasy,Sci-Fi,None
color,Unknown,142.0,407999255.0,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games,2012,English,USA,78000000.0,7.3,"Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds",140000,Adventure,Drama,Sci-Fi,Thriller,None
color,Joss Whedon,141.0,458991599.0,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,2015,English,USA,250000000.0,7.5,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118000,Action,Adventure,Sci-Fi,None,None
color,Justin Chadwick,141.0,8324748.0,Biography|Drama|History,Mandela: Long Walk to Freedom,2013,English,UK,35000000.0,7.1,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13000,Biography,Drama,History,None,None
None,Oliver Stone,141.0,47307550.0,Crime|Drama|Thriller,Savages,2012,English,USA,45000000.0,6.5,"Demián Bichir,Shea Whigham,Gary Stretch",28000,Crime,Drama,Thriller,None,None
color,David Dobkin,141.0,47105085.0,Crime|Drama,The Judge,2014,English,USA,50000000.0,7.4,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47000,Crime,Drama,None,None,None
color,Ryan Murphy,140.0,80574010.0,Drama|Romance,Eat Pray Love,2010,English,USA,60000000.0,5.7,"James Franco,Julia Roberts,Billy Crudup",26000,Drama,Romance,None,None,None
color,James Wan,140.0,350034110.0,Action|Crime|Thriller,Furious 7,2015,English,USA,190000000.0,7.2,"Jason Statham,Paul Walker,Vin Diesel",94000,Action,Crime,Thriller,None,None
color,Derek Cianfrance,140.0,21383298.0,Crime|Drama|Thriller,The Place Beyond the Pines,2012,English,USA,15000000.0,7.3,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47000,Crime,Drama,Thriller,None,None
color,Gavin O'Connor,140.0,13651662.0,Drama|Sport,Warrior,2011,English,USA,25000000.0,8.2,"Tom Hardy,Frank Grillo,Kevin Dunn",77000,Drama,Sport,None,None,None
color,Unknown,139.0,150832203.0,Adventure|Mystery|Sci-Fi,Divergent,2014,English,USA,85000000.0,6.7,"Kate Winslet,Theo James,Mekhi Phifer",49000,Adventure,Mystery,Sci-Fi,None,None
color,Gary Ross,139.0,20389967.0,Action|Biography|Drama|History|War,Free State of Jones,2016,English,USA,50000000.0,6.7,"Matthew McConaughey,Donald Watkins,Jessica Collins",10000,Action,Biography,Drama,History,War
color,Tate Taylor,139.0,30513940.0,Biography|Drama|Music,Get on Up,2014,English,USA,30000000.0,6.9,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",11000,Biography,Drama,Music,None,None
None,Terrence Malick,139.0,13303319.0,Drama|Fantasy,The Tree of Life,2011,English,USA,32000000.0,6.7,"Brad Pitt,Tye Sheridan,Fiona Shaw",39000,Drama,Fantasy,None,None,None
color,Unknown,138.0,150117807.0,Crime|Drama,American Hustle,2013,English,USA,40000000.0,7.3,"Jennifer Lawrence,Christian Bale,Bradley Cooper",63000,Crime,Drama,None,None,None
None,Robert Zemeckis,138.0,93749203.0,Drama|Thriller,Flight,2012,English,USA,31000000.0,7.3,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",64000,Drama,Thriller,None,None,None
color,Darren Aronofsky,138.0,101160529.0,Action|Adventure|Drama,Noah,2014,English,USA,125000000.0,5.8,"Anthony Hopkins,Emma Watson,Logan Lerman",71000,Action,Adventure,Drama,None,None
color,Martin Scorsese,138.0,127968405.0,Mystery|Thriller,Shutter Island,2010,English,USA,80000000.0,8.1,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",53000,Mystery,Thriller,None,None,None
color,Ridley Scott,138.0,16969390.0,Crime|Drama|Thriller,The Counselor,2013,English,USA,25000000.0,5.3,"Michael Fassbender,Brad Pitt,Goran Visnjic",24000,Crime,Drama,Thriller,None,None
None,James Mangold,138.0,132550960.0,Action|Adventure|Sci-Fi|Thriller,The Wolverine,2013,English,USA,120000000.0,6.7,"Hugh Jackman,Tao Okamoto,Rila Fukushima",68000,Action,Adventure,Sci-Fi,Thriller,None
color,Daniel Espinosa,137.0,1206135.0,Crime|Drama|Thriller,Child 44,205,English,CZECH REPUBLIC,50000000.0,6.4,"Tom Hardy,Fares Fares,Michael Nardone",18000,Crime,Drama,Thriller,None,None
color,Unknown,137.0,37304950.0,Biography|Crime|Drama,J. Edgar,2011,English,USA,35000000.0,6.6,"Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever",16000,Biography,Crime,Drama,None,None
None,Walter Salles,137.0,717753.0,Adventure|Drama,On the Road,2012,English,FRANCE,25000000.0,6.1,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",27000,Adventure,Drama,None,None,None
color,Unknown,137.0,281666058.0,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2,2015,English,USA,160000000.0,6.6,"Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson",38000,Adventure,Sci-Fi,None,None,None
color,Angelina Jolie Pitt,137.0,115603980.0,Biography|Drama|Sport|War,Unbroken,2014,English,USA,65000000.0,1.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000,Biography,Drama,Sport,War,None
